id;primary_name;birth_year;death_year;primary_profession;known_for_titles
1;Fresh payment;78309;96306;sensor Solutions;Multi-lateral Licensed Cotton Keyboard
2;Ergonomic PCI maroon;50068;74094;Supervisor tangible Sports;panel Somoni
3;e-business;96810;59578;Vermont;Administrator
4;Product Communications;74021;21668;value-added Chad;Kroon Kina
5;Practical;89981;87027;Soft Supervisor;Polarised
6;Kyrgyz Republic;28357;70668;bluetooth;Marketing
7;Home Loan Account Progressive;44583;10830;collaboration e-tailers;Credit Card Account
8;Greenland Personal Loan Account;8220;95052;Human azure virtual;innovative framework
9;IB focus group Money Market Account;35084;74260;Borders;needs-based Surinam Dollar revolutionary
10;invoice Awesome Soft Shoes;59142;3362;invoice bypassing;installation Keys empowering
